House;Species;Native;Type;Fruiting;Flowering;Grain
;spreading rush;non;Plant;n;n;n
;wild geranium;non;Plant;n;n;n
;common lady fern;native;Plant;n;n;n
;common comfrey;non;Plant;n;n;n
;hakone grass;non;Plant;n;n;n
;iceland poppy;non;Plant;n;n;n
;strawberry;native;Plant;y;n;n
;whorled tickseed;non;Plant;n;n;n
;kale;non;Plant;y;n;n
;raspberry;native;Plant;n;n;n
;garden asparagus;non;Plant;n;n;n
;potato;non;Plant;n;n;n
;cornflower;non;Plant;n;n;n
;zonal geranium;non;Plant;y;n;n
;winter jasmine;non;shrub;n;n;n
;stinking hellebore;non;shrub;n;n;n
;holly olive;non;shrub;n;n;n
;panicle hydrangea;non;shrub;n;n;n
;japanese snowbell;non;shrub;n;n;n
;pacific rhododendron;native;shrub;n;n;n
;scotch heather;non;shrub;n;n;n
;dappled willow;non;shrub;n;n;n
;japanese barberry;non;shrub;n;n;n
;english lavender;non;shrub;n;n;n
;japanese maple;non;shrub;n;n;n
;common lilac;non;shrub;y;n;n
;trumpet honeysuckle;non;shrub;n;n;n
R32;creeping buttercup;non;Plant;n;n;n
;common lady fern;native;Plant;n;n;n
;english ivy;non;Plant;n;n;n
;siebold's plantain lily;non;Plant;n;n;n
;ditch lily;non;Plant;n;n;n
;peony;non;Plant;n;n;n
;solomon's seal;native;Plant;y;n;n
;yellow archangel;non;Plant;y;n;n
;redwood sorrel;native;Plant;y;n;n
;cherry laurel;non;shrub;n;n;n
;scotch heather;non;shrub;y;n;n
;china rose;non;shrub;n;n;n
;english holly;non;shrub;n;n;n
;border forsythia;non;shrub;n;n;n
;pacific rhododendron;native;shrub;y;n;n
;bigleaf hydrangea;non;shrub;n;n;n
R33;Creeping bellflower;non;Plant;n;n;n
;wall lettuce;non;Plant;y;n;n
;Norway maple;non;Plant;n;n;n
;Cornflower;non;Plant;y;n;n
;Spanish bluebell;non;Plant;n;n;n
;Orange coneflower;non;Plant;n;n;n
;Plantain lily;non;Plant;n;n;n
;Ditch lily;non;Plant;n;n;n
;White panicle;non;Plant;n;n;n
;Creeping buttercup;non;Plant;n;n;n
;Yellow archangel;non;Plant;n;n;n
;Wax begonia;non;Plant;y;n;n
;mountain laurel;non;shrub;n;n;n
;western red cedar;native;shrub;n;n;n
;Multiflower rose;non;shrub;y;n;n
;Pacific rhododendron;native;shrub;n;n;n
;Chaemacyparis pisifera;non;shrub;n;n;n
;Japanese pieris;non;shrub;n;n;n
;Norway spruce;non;shrub;n;n;n
;Winter creeper;non;shrub;n;n;n
;Catawba roseberry;non;shrub;y;n;n
;French rose;non;shrub;y;n;n
;Rhododendron ferrugineum;non;shrub;y;n;n
;Ruby's laciniatus;non;shrub;n;n;n
;Common lilac;non;shrub;y;n;n
;Common boxwood;non;shrub;n;n;n
;Smooth hydrangea;non;shrub;n;n;n
;Arborvitae;non;shrub;n;n;n
R34;Garden petunia;non;Plant;y;n;n
;Lady's mantle;non;Plant;y;n;n
;Siberian iris;non;Plant;y;n;n
;rhubarb;non;Plant;n;n;n
;bacopa;non;Plant;y;n;n
;sweet potato vine;non;Plant;n;n;n
;zonal geranium;non;Plant;y;n;n
;Garden verbena;non;Plant;y;n;n
;ivy geranium;non;Plant;n;n;n
;Lady fern;native;Plant;n;n;n
