"house","name","native_or_non_native","type","dissemination_area"
"M41","False spiraea","non-native","shrub","M4"
"M41","Alpen rose","non-native","shrub","M4"
"M41","Pacific rhododendron","native","shrub","M4"
"M41","Vasvine","non-native","shrub","M4"
"M41","False azalea","native","shrub","M4"
"M41","Japanese maple","non-native","shrub","M4"
"M41","Common boxwood","non-native","shrub","M4"
"M41","Great laurel","native","shrub","M4"
"M41","Common lilac","non-native","shrub","M4"
"M41","Smoketree","non-native","shrub","M4"
"M41","Japanese snowbell","non-native","shrub","M4"
"M42","Heavenly bamboo","non-native","shrub","M4"
"M42","Spurge laurel","non-native","shrub","M4"
"M42","Great laurel","native","shrub","M4"
"M42","Japanese cherry","non-native","shrub","M4"
"M42","Peony","non-native","shrub","M4"
"M42","Panicle hydrangea","non-native","shrub","M4"
"M42","Ginkgo","non-native","shrub","M4"
"M42","Japanese camellia","non-native","shrub","M4"
"R11","English lavender","non-native","shrub","R1"
"R11","Cape jasmine","non-native","shrub","R1"
"R11","Japanese yew","non-native","shrub","R1"
"R11","Canada yew","native","shrub","R1"
"R11","Oriental arborvitae","non-native","shrub","R1"
"R11","Pacific rhododendron","native","shrub","R1"
"R12","Japanese maple","non-native","shrub","R1"
"R12","Common boxwood","non-native","shrub","R1"
"R12","Siberian dogwood","non-native","shrub","R1"
"R12","Paeonia lactiflora","non-native","shrub","R1"
"R12","Tree peony","non-native","shrub","R1"
